timestamp_procesado,timestamp_lectura_csv,zona_aeropuerto,personas_medicion_anterior,personas_medicion_actual,minutos_entre_mediciones,personas_atendidas_estimadas_intervalo,personas_llegadas_estimadas_intervalo,tasa_llegada_estimada_personas_min,tiempo_servicio_medio_min_por_persona,tasa_servicio_personas_min_por_cabina,capacidad_total_actual_personas_min,cabinas_activas_actuales,utilizacion_puesto_porcentaje,cola_media_modelo_personas,espera_media_cola_modelo_min,tiempo_total_medio_modelo_min,sistema_estable,espera_estimada_pasajero_nuevo_ahora_min,tiempo_total_estimado_pasajero_nuevo_ahora_min,weather_condition,tiempo_atmosferico,weather_risk_score,weather_delay_multiplier,recommended_extra_boarding_buffer_minutes,boarding_base_pressure,boarding_adjusted_pressure,boarding_weather_risk_level,personas_predichas_en_5_min,espera_pasajero_nuevo_predicha_en_5_min,tiempo_total_pasajero_nuevo_predicho_en_5_min,personas_predichas_en_10_min,espera_pasajero_nuevo_predicha_en_10_min,tiempo_total_pasajero_nuevo_predicho_en_10_min,personas_predichas_en_15_min,espera_pasajero_nuevo_predicha_en_15_min,tiempo_total_pasajero_nuevo_predicho_en_15_min,cabinas_recomendadas,accion_recomendada,mensaje_recomendacion
2026-05-16 11:22:29,2026-05-16 11:26:18,checkin,7,6,1.0,1.71,0.71,0.71,3.5,0.29,1.71,6,41.67,0.03,0.05,3.55,True,0.0,3.5,normal,Normal,0.18,1.03,1,0.0,0.0,Unknown,1.0,0.0,3.5,0.0,0.0,3.5,0.0,0.0,3.5,3,CERRAR,Cerrar 3 cabina(s) (6 -> 3). Espera baja: 0.0 min.
2026-05-16 11:22:29,2026-05-16 11:26:18,bagdrop,2,2,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2,100.0,inf,inf,inf,False,0.0,2.0,normal,Normal,0.18,1.03,1,0.0,0.0,Unknown,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,3,CRITICO,Sistema inestable: llegan 1.00 pax/min y la capacidad actual es 1.00 pax/min. Abrir hasta 3 cabina(s).
2026-05-16 11:22:29,2026-05-16 11:26:18,seguridad,11,12,1.0,4.17,5.17,5.17,1.2,0.83,4.17,5,100.0,inf,inf,inf,False,1.68,2.88,normal,Normal,0.18,1.03,1,0.0,0.0,Unknown,17.0,2.88,4.08,22.0,4.08,5.28,27.0,5.28,6.48,6,CRITICO,Sistema inestable: llegan 5.17 pax/min y la capacidad actual es 4.17 pax/min. Abrir hasta 6 cabina(s).
2026-05-16 11:22:29,2026-05-16 11:26:18,pasaportes,2,2,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2,100.0,inf,inf,inf,False,0.0,2.0,normal,Normal,0.18,1.03,1,0.0,0.0,Unknown,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,3,CRITICO,Sistema inestable: llegan 1.00 pax/min y la capacidad actual es 1.00 pax/min. Abrir hasta 3 cabina(s).
2026-05-16 11:22:29,2026-05-16 11:26:18,embarque,0,0,1.0,4.0,4.0,4.0,0.5,2.0,4.0,2,100.0,inf,inf,inf,False,0.0,0.5,normal,Normal,0.18,1.03,1,0.0,0.0,Low,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,3,CRITICO,Sistema inestable: llegan 4.00 pax/min y la capacidad actual es 4.00 pax/min. Abrir hasta 3 cabina(s).
2026-05-16 11:22:33,2026-05-16 11:27:18,checkin,6,6,1.0,0.86,0.86,0.86,3.5,0.29,0.86,3,100.0,inf,inf,inf,False,3.5,7.0,normal,Normal,0.18,1.03,1,0.0,0.0,Unknown,6.0,3.5,7.0,6.0,3.5,7.0,6.0,3.5,7.0,4,CRITICO,Sistema inestable: llegan 0.86 pax/min y la capacidad actual es 0.86 pax/min. Abrir hasta 4 cabina(s).
2026-05-16 11:22:33,2026-05-16 11:27:18,bagdrop,2,2,1.0,1.5,1.5,1.5,2.0,0.5,1.5,3,100.0,inf,inf,inf,False,0.0,2.0,normal,Normal,0.18,1.03,1,0.0,0.0,Unknown,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,4,CRITICO,Sistema inestable: llegan 1.50 pax/min y la capacidad actual es 1.50 pax/min. Abrir hasta 4 cabina(s).
2026-05-16 11:22:33,2026-05-16 11:27:18,seguridad,12,14,1.0,5.0,7.0,7.0,1.2,0.83,5.0,6,100.0,inf,inf,inf,False,1.6,2.8,normal,Normal,0.18,1.03,1,0.0,0.0,Unknown,24.0,3.6,4.8,34.0,5.6,6.8,44.0,7.6,8.8,6,CRITICO,Sistema inestable: llegan 7.00 pax/min y la capacidad actual es 5.00 pax/min. Abrir hasta 6 cabina(s).
2026-05-16 11:22:33,2026-05-16 11:27:18,pasaportes,2,1,1.0,1.5,0.5,0.5,2.0,0.5,1.5,3,33.33,0.05,0.09,2.09,True,0.0,2.0,normal,Normal,0.18,1.03,1,0.0,0.0,Unknown,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2,CERRAR,Cerrar 1 cabina(s) (3 -> 2). Espera baja: 0.0 min.
2026-05-16 11:22:33,2026-05-16 11:27:18,embarque,0,0,1.0,6.0,6.0,6.0,0.5,2.0,6.0,3,100.0,inf,inf,inf,False,0.0,0.5,normal,Normal,0.18,1.03,1,0.0,0.0,Low,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,4,CRITICO,Sistema inestable: llegan 6.00 pax/min y la capacidad actual es 6.00 pax/min. Abrir hasta 4 cabina(s).
2026-05-16 11:22:36,2026-05-16 11:28:18,checkin,6,5,1.0,1.14,0.14,0.14,3.5,0.29,1.14,4,12.5,0.0,0.0,3.5,True,0.88,4.38,wind,Viento,0.58,1.39,13,0.0,0.0,Unknown,0.0,0.0,3.5,0.0,0.0,3.5,0.0,0.0,3.5,3,CERRAR,Cerrar 1 cabina(s) (4 -> 3). Espera baja: 0.9 min.
2026-05-16 11:22:36,2026-05-16 11:28:18,bagdrop,2,2,1.0,2.0,2.0,2.0,2.0,0.5,2.0,4,100.0,inf,inf,inf,False,0.0,2.0,wind,Viento,0.58,1.39,13,0.0,0.0,Unknown,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,5,CRITICO,Sistema inestable: llegan 2.00 pax/min y la capacidad actual es 2.00 pax/min. Abrir hasta 5 cabina(s).
2026-05-16 11:22:36,2026-05-16 11:28:18,seguridad,14,15,1.0,5.0,6.0,6.0,1.2,0.83,5.0,6,100.0,inf,inf,inf,False,1.8,3.0,wind,Viento,0.58,1.39,13,0.0,0.0,Unknown,20.0,2.8,4.0,25.0,3.8,5.0,30.0,4.8,6.0,6,CRITICO,Sistema inestable: llegan 6.00 pax/min y la capacidad actual es 5.00 pax/min. Abrir hasta 6 cabina(s).
2026-05-16 11:22:36,2026-05-16 11:28:18,pasaportes,1,0,1.0,1.0,0.0,0.0,2.0,0.5,1.0,2,0.0,0.0,0.0,2.0,True,0.0,2.0,wind,Viento,0.58,1.39,13,0.0,0.0,Unknown,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1,CERRAR,Cerrar 1 cabina(s) (2 -> 1). Espera baja: 0.0 min.
2026-05-16 11:22:36,2026-05-16 11:28:18,embarque,0,0,1.0,8.0,8.0,8.0,0.5,2.0,8.0,4,100.0,inf,inf,inf,False,0.0,0.5,wind,Viento,0.58,1.39,13,0.0,0.0,Low,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,4,CRITICO,Sistema inestable: llegan 8.00 pax/min y la capacidad actual es 8.00 pax/min. Abrir hasta 4 cabina(s).
2026-05-16 11:22:39,2026-05-16 11:29:18,checkin,5,5,1.0,0.86,0.86,0.86,3.5,0.29,0.86,3,100.0,inf,inf,inf,False,2.33,5.83,wind,Viento,0.58,1.39,13,0.0,0.0,Unknown,5.0,2.33,5.83,5.0,2.33,5.83,5.0,2.33,5.83,4,CRITICO,Sistema inestable: llegan 0.86 pax/min y la capacidad actual es 0.86 pax/min. Abrir hasta 4 cabina(s).
2026-05-16 11:22:39,2026-05-16 11:29:18,bagdrop,2,2,1.0,2.5,2.5,2.5,2.0,0.5,2.5,5,100.0,inf,inf,inf,False,0.0,2.0,wind,Viento,0.58,1.39,13,0.0,0.0,Unknown,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,6,CRITICO,Sistema inestable: llegan 2.50 pax/min y la capacidad actual es 2.50 pax/min. Abrir hasta 6 cabina(s).
2026-05-16 11:22:39,2026-05-16 11:29:18,seguridad,15,18,1.0,5.0,8.0,8.0,1.2,0.83,5.0,6,100.0,inf,inf,inf,False,2.4,3.6,wind,Viento,0.58,1.39,13,0.0,0.0,Unknown,33.0,5.4,6.6,48.0,8.4,9.6,63.0,11.4,12.6,6,CRITICO,Sistema inestable: llegan 8.00 pax/min y la capacidad actual es 5.00 pax/min. Abrir hasta 6 cabina(s).
2026-05-16 11:22:39,2026-05-16 11:29:18,pasaportes,0,0,1.0,0.5,0.5,0.5,2.0,0.5,0.5,1,100.0,inf,inf,inf,False,0.0,2.0,wind,Viento,0.58,1.39,13,0.0,0.0,Unknown,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2,CRITICO,Sistema inestable: llegan 0.50 pax/min y la capacidad actual es 0.50 pax/min. Abrir hasta 2 cabina(s).
2026-05-16 11:22:39,2026-05-16 11:29:18,embarque,0,0,1.0,8.0,8.0,8.0,0.5,2.0,8.0,4,100.0,inf,inf,inf,False,0.0,0.5,wind,Viento,0.58,1.39,13,0.0,0.0,Low,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,4,CRITICO,Sistema inestable: llegan 8.00 pax/min y la capacidad actual es 8.00 pax/min. Abrir hasta 4 cabina(s).
2026-05-16 11:22:42,2026-05-16 11:30:18,checkin,5,5,1.0,1.14,1.14,1.14,3.5,0.29,1.14,4,100.0,inf,inf,inf,False,0.88,4.38,wind,Viento,0.58,1.39,13,0.0,0.0,Unknown,5.0,0.88,4.38,5.0,0.88,4.38,5.0,0.88,4.38,5,CRITICO,Sistema inestable: llegan 1.14 pax/min y la capacidad actual es 1.14 pax/min. Abrir hasta 5 cabina(s).
2026-05-16 11:22:42,2026-05-16 11:30:18,bagdrop,2,1,1.0,3.0,2.0,2.0,2.0,0.5,3.0,6,66.67,0.57,0.28,2.28,True,0.0,2.0,wind,Viento,0.58,1.39,13,0.0,0.0,Unknown,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,5,CERRAR,Cerrar 1 cabina(s) (6 -> 5). Espera baja: 0.0 min.
2026-05-16 11:22:42,2026-05-16 11:30:18,seguridad,18,19,1.0,5.0,6.0,6.0,1.2,0.83,5.0,6,100.0,inf,inf,inf,False,2.6,3.8,wind,Viento,0.58,1.39,13,0.0,0.0,Unknown,24.0,3.6,4.8,29.0,4.6,5.8,34.0,5.6,6.8,6,CRITICO,Sistema inestable: llegan 6.00 pax/min y la capacidad actual es 5.00 pax/min. Abrir hasta 6 cabina(s).
2026-05-16 11:22:42,2026-05-16 11:30:18,pasaportes,0,0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2,100.0,inf,inf,inf,False,0.0,2.0,wind,Viento,0.58,1.39,13,0.0,0.0,Unknown,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,3,CRITICO,Sistema inestable: llegan 1.00 pax/min y la capacidad actual es 1.00 pax/min. Abrir hasta 3 cabina(s).
2026-05-16 11:22:42,2026-05-16 11:30:18,embarque,0,0,1.0,8.0,8.0,8.0,0.5,2.0,8.0,4,100.0,inf,inf,inf,False,0.0,0.5,wind,Viento,0.58,1.39,13,0.0,0.0,Low,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,4,CRITICO,Sistema inestable: llegan 8.00 pax/min y la capacidad actual es 8.00 pax/min. Abrir hasta 4 cabina(s).
2026-05-16 11:22:45,2026-05-16 11:31:18,checkin,5,5,1.0,1.43,1.43,1.43,3.5,0.29,1.43,5,100.0,inf,inf,inf,False,0.0,3.5,wind,Viento,0.58,1.39,13,0.0,0.0,Unknown,5.0,0.0,3.5,5.0,0.0,3.5,5.0,0.0,3.5,6,CRITICO,Sistema inestable: llegan 1.43 pax/min y la capacidad actual es 1.43 pax/min. Abrir hasta 6 cabina(s).
2026-05-16 11:22:45,2026-05-16 11:31:18,bagdrop,1,1,1.0,2.5,2.5,2.5,2.0,0.5,2.5,5,100.0,inf,inf,inf,False,0.0,2.0,wind,Viento,0.58,1.39,13,0.0,0.0,Unknown,1.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,6,CRITICO,Sistema inestable: llegan 2.50 pax/min y la capacidad actual es 2.50 pax/min. Abrir hasta 6 cabina(s).
2026-05-16 11:22:45,2026-05-16 11:31:18,seguridad,19,20,1.0,5.0,6.0,6.0,1.2,0.83,5.0,6,100.0,inf,inf,inf,False,2.8,4.0,wind,Viento,0.58,1.39,13,0.0,0.0,Unknown,25.0,3.8,5.0,30.0,4.8,6.0,35.0,5.8,7.0,6,CRITICO,Sistema inestable: llegan 6.00 pax/min y la capacidad actual es 5.00 pax/min. Abrir hasta 6 cabina(s).
2026-05-16 11:22:45,2026-05-16 11:31:18,pasaportes,0,0,1.0,1.5,1.5,1.5,2.0,0.5,1.5,3,100.0,inf,inf,inf,False,0.0,2.0,wind,Viento,0.58,1.39,13,0.0,0.0,Unknown,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,4,CRITICO,Sistema inestable: llegan 1.50 pax/min y la capacidad actual es 1.50 pax/min. Abrir hasta 4 cabina(s).
2026-05-16 11:22:45,2026-05-16 11:31:18,embarque,0,0,1.0,8.0,8.0,8.0,0.5,2.0,8.0,4,100.0,inf,inf,inf,False,0.0,0.5,wind,Viento,0.58,1.39,13,0.0,0.0,Low,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,4,CRITICO,Sistema inestable: llegan 8.00 pax/min y la capacidad actual es 8.00 pax/min. Abrir hasta 4 cabina(s).
2026-05-16 11:22:48,2026-05-16 11:32:18,checkin,5,5,1.0,1.71,1.71,1.71,3.5,0.29,1.71,6,100.0,inf,inf,inf,False,0.0,3.5,wind,Viento,0.58,1.39,13,0.0,0.0,Unknown,5.0,0.0,3.5,5.0,0.0,3.5,5.0,0.0,3.5,7,CRITICO,Sistema inestable: llegan 1.71 pax/min y la capacidad actual es 1.71 pax/min. Abrir hasta 7 cabina(s).
2026-05-16 11:22:48,2026-05-16 11:32:18,bagdrop,1,1,1.0,3.0,3.0,3.0,2.0,0.5,3.0,6,100.0,inf,inf,inf,False,0.0,2.0,wind,Viento,0.58,1.39,13,0.0,0.0,Unknown,1.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,7,CRITICO,Sistema inestable: llegan 3.00 pax/min y la capacidad actual es 3.00 pax/min. Abrir hasta 7 cabina(s).
2026-05-16 11:22:48,2026-05-16 11:32:18,seguridad,20,23,1.0,5.0,8.0,8.0,1.2,0.83,5.0,6,100.0,inf,inf,inf,False,3.4,4.6,wind,Viento,0.58,1.39,13,0.0,0.0,Unknown,38.0,6.4,7.6,53.0,9.4,10.6,68.0,12.4,13.6,6,CRITICO,Sistema inestable: llegan 8.00 pax/min y la capacidad actual es 5.00 pax/min. Abrir hasta 6 cabina(s).
2026-05-16 11:22:48,2026-05-16 11:32:18,pasaportes,0,0,1.0,2.0,2.0,2.0,2.0,0.5,2.0,4,100.0,inf,inf,inf,False,0.0,2.0,wind,Viento,0.58,1.39,13,0.0,0.0,Unknown,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,5,CRITICO,Sistema inestable: llegan 2.00 pax/min y la capacidad actual es 2.00 pax/min. Abrir hasta 5 cabina(s).
2026-05-16 11:22:48,2026-05-16 11:32:18,embarque,0,0,1.0,8.0,8.0,8.0,0.5,2.0,8.0,4,100.0,inf,inf,inf,False,0.0,0.5,wind,Viento,0.58,1.39,13,0.0,0.0,Low,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,4,CRITICO,Sistema inestable: llegan 8.00 pax/min y la capacidad actual es 8.00 pax/min. Abrir hasta 4 cabina(s).
2026-05-16 11:22:51,2026-05-16 11:33:18,checkin,5,6,1.0,2.0,3.0,3.0,3.5,0.29,2.0,7,100.0,inf,inf,inf,False,0.0,3.5,wind,Viento,0.58,1.39,13,0.0,0.0,Unknown,11.0,2.0,5.5,16.0,4.5,8.0,21.0,7.0,10.5,12,CRITICO,Sistema inestable: llegan 3.00 pax/min y la capacidad actual es 2.00 pax/min. Abrir hasta 12 cabina(s).
2026-05-16 11:22:51,2026-05-16 11:33:18,bagdrop,1,1,1.0,3.5,3.5,3.5,2.0,0.5,3.5,7,100.0,inf,inf,inf,False,0.0,2.0,wind,Viento,0.58,1.39,13,0.0,0.0,Unknown,1.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,8,CRITICO,Sistema inestable: llegan 3.50 pax/min y la capacidad actual es 3.50 pax/min. Abrir hasta 8 cabina(s).
2026-05-16 11:22:51,2026-05-16 11:33:18,seguridad,23,25,1.0,5.0,7.0,7.0,1.2,0.83,5.0,6,100.0,inf,inf,inf,False,3.8,5.0,wind,Viento,0.58,1.39,13,0.0,0.0,Unknown,35.0,5.8,7.0,45.0,7.8,9.0,55.0,9.8,11.0,6,CRITICO,Sistema inestable: llegan 7.00 pax/min y la capacidad actual es 5.00 pax/min. Abrir hasta 6 cabina(s).
2026-05-16 11:22:51,2026-05-16 11:33:18,pasaportes,0,0,1.0,2.5,2.5,2.5,2.0,0.5,2.5,5,100.0,inf,inf,inf,False,0.0,2.0,wind,Viento,0.58,1.39,13,0.0,0.0,Unknown,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,6,CRITICO,Sistema inestable: llegan 2.50 pax/min y la capacidad actual es 2.50 pax/min. Abrir hasta 6 cabina(s).
2026-05-16 11:22:51,2026-05-16 11:33:18,embarque,0,0,1.0,8.0,8.0,8.0,0.5,2.0,8.0,4,100.0,inf,inf,inf,False,0.0,0.5,wind,Viento,0.58,1.39,13,0.0,0.0,Low,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,4,CRITICO,Sistema inestable: llegan 8.00 pax/min y la capacidad actual es 8.00 pax/min. Abrir hasta 4 cabina(s).
2026-05-16 11:22:54,2026-05-16 11:34:18,checkin,6,6,1.0,3.43,3.43,3.43,3.5,0.29,3.43,12,100.0,inf,inf,inf,False,0.0,3.5,wind,Viento,0.58,1.39,13,0.0,0.0,Unknown,6.0,0.0,3.5,6.0,0.0,3.5,6.0,0.0,3.5,12,CRITICO,Sistema inestable: llegan 3.43 pax/min y la capacidad actual es 3.43 pax/min. Abrir hasta 12 cabina(s).
2026-05-16 11:22:54,2026-05-16 11:34:18,bagdrop,1,2,1.0,4.0,5.0,5.0,2.0,0.5,4.0,8,100.0,inf,inf,inf,False,0.0,2.0,wind,Viento,0.58,1.39,13,0.0,0.0,Unknown,7.0,0.0,2.0,12.0,1.0,3.0,17.0,2.25,4.25,8,CRITICO,Sistema inestable: llegan 5.00 pax/min y la capacidad actual es 4.00 pax/min. Abrir hasta 8 cabina(s).
2026-05-16 11:22:54,2026-05-16 11:34:18,seguridad,25,26,1.0,5.0,6.0,6.0,1.2,0.83,5.0,6,100.0,inf,inf,inf,False,4.0,5.2,wind,Viento,0.58,1.39,13,0.0,0.0,Unknown,31.0,5.0,6.2,36.0,6.0,7.2,41.0,7.0,8.2,6,CRITICO,Sistema inestable: llegan 6.00 pax/min y la capacidad actual es 5.00 pax/min. Abrir hasta 6 cabina(s).
2026-05-16 11:22:54,2026-05-16 11:34:18,pasaportes,0,0,1.0,3.0,3.0,3.0,2.0,0.5,3.0,6,100.0,inf,inf,inf,False,0.0,2.0,wind,Viento,0.58,1.39,13,0.0,0.0,Unknown,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,7,CRITICO,Sistema inestable: llegan 3.00 pax/min y la capacidad actual es 3.00 pax/min. Abrir hasta 7 cabina(s).
2026-05-16 11:22:54,2026-05-16 11:34:18,embarque,0,0,1.0,8.0,8.0,8.0,0.5,2.0,8.0,4,100.0,inf,inf,inf,False,0.0,0.5,wind,Viento,0.58,1.39,13,0.0,0.0,Low,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,4,CRITICO,Sistema inestable: llegan 8.00 pax/min y la capacidad actual es 8.00 pax/min. Abrir hasta 4 cabina(s).
2026-05-16 11:22:57,2026-05-16 11:35:18,checkin,6,7,1.0,3.43,4.43,4.43,3.5,0.29,3.43,12,100.0,inf,inf,inf,False,0.0,3.5,wind,Viento,0.58,1.39,13,0.0,0.0,Unknown,12.0,0.0,3.5,17.0,1.46,4.96,22.0,2.92,6.42,12,CRITICO,Sistema inestable: llegan 4.43 pax/min y la capacidad actual es 3.43 pax/min. Abrir hasta 12 cabina(s).
2026-05-16 11:22:57,2026-05-16 11:35:18,bagdrop,2,3,1.0,4.0,5.0,5.0,2.0,0.5,4.0,8,100.0,inf,inf,inf,False,0.0,2.0,wind,Viento,0.58,1.39,13,0.0,0.0,Unknown,8.0,0.0,2.0,13.0,1.25,3.25,18.0,2.5,4.5,8,CRITICO,Sistema inestable: llegan 5.00 pax/min y la capacidad actual es 4.00 pax/min. Abrir hasta 8 cabina(s).
2026-05-16 11:22:57,2026-05-16 11:35:18,seguridad,26,29,1.0,5.0,8.0,8.0,1.2,0.83,5.0,6,100.0,inf,inf,inf,False,4.6,5.8,wind,Viento,0.58,1.39,13,0.0,0.0,Unknown,44.0,7.6,8.8,59.0,10.6,11.8,74.0,13.6,14.8,6,CRITICO,Sistema inestable: llegan 8.00 pax/min y la capacidad actual es 5.00 pax/min. Abrir hasta 6 cabina(s).
2026-05-16 11:22:57,2026-05-16 11:35:18,pasaportes,0,0,1.0,3.5,3.5,3.5,2.0,0.5,3.5,7,100.0,inf,inf,inf,False,0.0,2.0,wind,Viento,0.58,1.39,13,0.0,0.0,Unknown,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,8,CRITICO,Sistema inestable: llegan 3.50 pax/min y la capacidad actual es 3.50 pax/min. Abrir hasta 8 cabina(s).
